product_id,category_id,name,description,price,stock_quantity,created_at
23,3,Mirror 94,High-quality mirror for everyday use,758.21,440,2024-01-18T13:06:10.611783
24,3,Garden Tool 643,High-quality garden tool for everyday use,168.37,348,2024-04-07T13:06:10.611783
25,3,Frame 66,High-quality frame for everyday use,390.91,305,2024-04-18T13:06:10.611783
26,3,Clock 258,High-quality clock for everyday use,971.36,440,2023-12-23T13:06:10.611783
27,3,Plant Pot 699,High-quality plant pot for everyday use,885.93,384,2024-02-27T13:06:10.611783
28,3,Rug 115,High-quality rug for everyday use,300.56,80,2024-04-15T13:06:10.611783
29,3,Lamp 977,High-quality lamp for everyday use,724.86,368,2024-02-26T13:06:10.611783
30,3,Clock 781,High-quality clock for everyday use,186.86,467,2024-01-17T13:06:10.611783
31,4,Soccer Ball 624,High-quality soccer ball for everyday use,206.91,191,2024-07-03T13:06:10.611783
32,4,Backpack 553,High-quality backpack for everyday use,953.95,472,2024-05-04T13:06:10.611783
33,4,Bicycle 614,High-quality bicycle for everyday use,330.9,9,2024-01-18T13:06:10.611783
34,4,Dumbbells 900,High-quality dumbbells for everyday use,985.46,413,2024-03-08T13:06:10.611783
35,4,Running Shoes 60,High-quality running shoes for everyday use,248.45,290,2024-01-10T13:06:10.611783
36,4,Tent 750,High-quality tent for everyday use,491.12,35,2024-07-02T13:06:10.611783
37,4,Soccer Ball 785,High-quality soccer ball for everyday use,134.49,337,2024-04-20T13:06:10.611783
38,4,Soccer Ball 170,High-quality soccer ball for everyday use,272.4,446,2024-05-24T13:06:10.611783
39,4,Tennis Racket 988,High-quality tennis racket for everyday use,219.67,276,2024-07-01T13:06:10.611783
40,4,Running Shoes 731,High-quality running shoes for everyday use,318.59,343,2024-06-04T13:06:10.611783
41,5,History 922,High-quality history for everyday use,522.39,61,2024-02-22T13:06:10.611783
42,5,Biography 66,High-quality biography for everyday use,344.69,301,2024-05-10T13:06:10.611783
43,5,Biography 603,High-quality biography for everyday use,228.01,36,2024-06-19T13:06:10.611783
44,5,Novel 235,High-quality novel for everyday use,76.72,16,2024-03-14T13:06:10.611783
45,5,Textbook 527,High-quality textbook for everyday use,245.61,342,2024-04-23T13:06:10.611783
46,5,Biography 553,High-quality biography for everyday use,140.98,478,2024-05-15T13:06:10.611783
47,5,Comic 485,High-quality comic for everyday use,250.56,242,2024-04-03T13:06:10.611783
48,5,Biography 97,High-quality biography for everyday use,105.95,220,2024-03-20T13:06:10.611783
49,5,Fantasy 421,High-quality fantasy for everyday use,472.34,373,2024-01-03T13:06:10.611783
50,5,Textbook 63,High-quality textbook for everyday use,408.59,173,2024-01-17T13:06:10.611783
51,6,Doll 195,High-quality doll for everyday use,540.91,71,2024-04-07T13:06:10.611783
52,6,Action Figure 286,High-quality action figure for everyday use,467.99,447,2024-01-09T13:06:10.611783
53,6,Stuffed Animal 828,High-quality stuffed animal for everyday use,862.73,281,2024-01-15T13:06:10.611783
54,6,Board Game 668,High-quality board game for everyday use,999.28,428,2023-12-24T13:06:10.611783
55,6,Puzzle 949,High-quality puzzle for everyday use,756.02,121,2024-02-01T13:06:10.611783
56,6,Card Game 498,High-quality card game for everyday use,486.53,442,2024-04-01T13:06:10.611783
57,6,Board Game 169,High-quality board game for everyday use,385.17,199,2024-02-26T13:06:10.611783
58,6,Stuffed Animal 293,High-quality stuffed animal for everyday use,428.77,490,2024-06-25T13:06:10.611783
59,6,Art Set 678,High-quality art set for everyday use,721.21,79,2024-02-07T13:06:10.611783
60,7,Moisturizer 992,High-quality moisturizer for everyday use,67.89,376,2024-05-07T13:06:10.611783
61,7,Shampoo 766,High-quality shampoo for everyday use,320.46,25,2024-05-18T13:06:10.611783
62,7,Razor 515,High-quality razor for everyday use,920.18,271,2024-01-30T13:06:10.611783
63,7,Shampoo 984,High-quality shampoo for everyday use,512.74,435,2024-02-06T13:06:10.611783
64,7,Soap 610,High-quality soap for everyday use,77.27,441,2024-02-19T13:06:10.611783
65,7,Hair Dryer 123,High-quality hair dryer for everyday use,942.17,291,2024-02-22T13:06:10.611783
66,7,Face Mask 609,High-quality face mask for everyday use,49.33,41,2024-04-06T13:06:10.611783
67,7,Face Mask 579,High-quality face mask for everyday use,527.54,478,2024-02-25T13:06:10.611783
68,7,Moisturizer 686,High-quality moisturizer for everyday use,719.02,122,2024-02-26T13:06:10.611783
69,7,Hair Dryer 135,High-quality hair dryer for everyday use,674.96,153,2024-04-16T13:06:10.611783
70,8,Tire 10,High-quality tire for everyday use,463.69,288,2024-01-15T13:06:10.611783
71,8,Tire 551,High-quality tire for everyday use,221.01,135,2024-01-23T13:06:10.611783
72,8,Wiper Blade 903,High-quality wiper blade for everyday use,78.09,125,2024-03-24T13:06:10.611783
73,8,Headlight 162,High-quality headlight for everyday use,443.79,278,2024-06-18T13:06:10.611783
74,8,Headlight 627,High-quality headlight for everyday use,984.0,413,2024-06-05T13:06:10.611783
75,8,Floor Mat 9,High-quality floor mat for everyday use,671.17,283,2024-03-06T13:06:10.611783
76,8,Tire 962,High-quality tire for everyday use,879.34,135,2024-01-19T13:06:10.611783
77,8,Tire 761,High-quality tire for everyday use,557.68,139,2024-03-02T13:06:10.611783
78,8,Steering Wheel Cover 216,High-quality steering wheel cover for everyday use,720.43,104,2024-06-13T13:06:10.611783
79,8,Headlight 518,High-quality headlight for everyday use,493.64,463,2024-01-03T13:06:10.611783
80,9,Honey 850,High-quality honey for everyday use,283.9,1,2024-03-15T13:06:10.611783
81,9,Chocolate 653,High-quality chocolate for everyday use,979.99,82,2024-06-27T13:06:10.611783
82,9,Jam 565,High-quality jam for everyday use,708.6,287,2023-12-23T13:06:10.611783
83,9,Tea 78,High-quality tea for everyday use,945.59,353,2024-01-28T13:06:10.611783
84,9,Nuts 37,High-quality nuts for everyday use,836.24,298,2024-05-10T13:06:10.611783
85,9,Chocolate 441,High-quality chocolate for everyday use,136.16,157,2024-03-23T13:06:10.611783
86,9,Coffee 921,High-quality coffee for everyday use,364.22,349,2024-02-22T13:06:10.611783
87,9,Tea 363,High-quality tea for everyday use,782.31,452,2024-04-03T13:06:10.611783
88,10,Pet Toy 948,High-quality pet toy for everyday use,930.57,442,2024-01-31T13:06:10.611783
89,10,Pet Toy 903,High-quality pet toy for everyday use,418.16,91,2024-06-26T13:06:10.611783
90,10,Pet Bed 802,High-quality pet bed for everyday use,931.5,410,2024-06-09T13:06:10.611783
91,10,Leash 274,High-quality leash for everyday use,167.6,359,2024-01-17T13:06:10.611783
92,10,Food Bowl 894,High-quality food bowl for everyday use,48.33,240,2024-02-15T13:06:10.611783
93,10,Leash 837,High-quality leash for everyday use,919.26,179,2024-03-08T13:06:10.611783
94,10,Leash 229,High-quality leash for everyday use,33.42,98,2024-04-01T13:06:10.611783
95,10,Pet Bed 286,High-quality pet bed for everyday use,865.7,495,2024-07-05T13:06:10.611783
96,10,Collar 360,High-quality collar for everyday use,645.06,204,2024-06-11T13:06:10.611783
97,10,Grooming Brush 340,High-quality grooming brush for everyday use,939.83,59,2024-02-25T13:06:10.611783
98,10,Pet Toy 595,High-quality pet toy for everyday use,962.9,135,2023-12-30T13:06:10.611783
99,10,Cat Litter 611,High-quality cat litter for everyday use,440.21,373,2024-03-10T13:06:10.611783
100,11,Paper Clip 524,High-quality paper clip for everyday use,124.48,460,2024-05-16T13:06:10.611783
101,11,Folder 261,High-quality folder for everyday use,53.93,223,2023-12-21T13:06:10.611783
102,11,Envelope 948,High-quality envelope for everyday use,808.44,351,2024-06-22T13:06:10.611783
103,11,Folder 373,High-quality folder for everyday use,436.97,485,2024-06-08T13:06:10.611783
104,11,Desk Organizer 639,High-quality desk organizer for everyday use,320.77,434,2024-01-21T13:06:10.611783
105,11,Binder 520,High-quality binder for everyday use,316.18,209,2024-03-13T13:06:10.611783
106,11,Calculator 714,High-quality calculator for everyday use,302.69,65,2024-02-08T13:06:10.611783
107,11,Calculator 681,High-quality calculator for everyday use,940.95,346,2024-06-29T13:06:10.611783
108,11,Stapler 631,High-quality stapler for everyday use,573.4,207,2024-05-09T13:06:10.611783
109,11,Notebook 312,High-quality notebook for everyday use,294.03,220,2024-05-17T13:06:10.611783
110,11,Paper Clip 671,High-quality paper clip for everyday use,329.02,226,2024-04-12T13:06:10.611783
111,12,Metronome 485,High-quality metronome for everyday use,795.79,491,2024-06-26T13:06:10.611783
112,12,Drums 675,High-quality drums for everyday use,93.94,263,2024-06-07T13:06:10.611783
113,12,Music Stand 344,High-quality music stand for everyday use,102.44,487,2024-06-30T13:06:10.611783
114,12,Violin 689,High-quality violin for everyday use,317.31,412,2024-02-09T13:06:10.611783
115,12,Drums 26,High-quality drums for everyday use,55.74,243,2024-05-25T13:06:10.611783
116,12,Piano 467,High-quality piano for everyday use,420.29,322,2024-05-16T13:06:10.611783
117,12,Violin 736,High-quality violin for everyday use,699.38,253,2024-04-01T13:06:10.611783
118,12,Violin 152,High-quality violin for everyday use,659.49,2,2024-06-30T13:06:10.611783
119,12,Piano 798,High-quality piano for everyday use,430.88,90,2024-06-16T13:06:10.611783
120,13,Charm 52,High-quality charm for everyday use,561.82,469,2024-01-21T13:06:10.611783
121,13,Charm 137,High-quality charm for everyday use,803.39,341,2024-05-04T13:06:10.611783
122,13,Pendant 610,High-quality pendant for everyday use,324.11,386,2024-04-12T13:06:10.611783
123,13,Cufflinks 835,High-quality cufflinks for everyday use,722.07,258,2024-04-08T13:06:10.611783
124,13,Pendant 457,High-quality pendant for everyday use,898.23,380,2024-04-20T13:06:10.611783
125,13,Charm 266,High-quality charm for everyday use,754.25,430,2024-06-01T13:06:10.611783
126,13,Watch 785,High-quality watch for everyday use,779.89,248,2024-05-29T13:06:10.611783
127,13,Bracelet 282,High-quality bracelet for everyday use,445.46,365,2024-03-03T13:06:10.611783
128,13,Bracelet 279,High-quality bracelet for everyday use,342.48,457,2024-05-07T13:06:10.611783
129,13,Ring 142,High-quality ring for everyday use,159.31,196,2024-06-15T13:06:10.611783
130,13,Earrings 724,High-quality earrings for everyday use,221.8,212,2024-04-03T13:06:10.611783
131,13,Brooch 556,High-quality brooch for everyday use,471.26,31,2024-02-11T13:06:10.611783
132,14,Cabinet 927,High-quality cabinet for everyday use,772.09,484,2024-06-16T13:06:10.611783
133,14,Chair 878,High-quality chair for everyday use,881.84,294,2024-03-27T13:06:10.611783
134,14,Stool 7,High-quality stool for everyday use,943.3,152,2024-06-30T13:06:10.611783
135,14,Cabinet 874,High-quality cabinet for everyday use,892.72,427,2024-04-06T13:06:10.611783
136,14,Wardrobe 766,High-quality wardrobe for everyday use,737.28,409,2024-05-23T13:06:10.611783
137,14,Bed 500,High-quality bed for everyday use,227.22,223,2024-04-23T13:06:10.611783
138,14,Chair 399,High-quality chair for everyday use,342.76,347,2024-04-02T13:06:10.611783
139,14,Sofa 861,High-quality sofa for everyday use,472.71,65,2024-05-28T13:06:10.611783
140,14,Wardrobe 28,High-quality wardrobe for everyday use,907.85,303,2024-05-13T13:06:10.611783
141,14,Chair 86,High-quality chair for everyday use,646.31,69,2024-04-17T13:06:10.611783
142,14,Sofa 52,High-quality sofa for everyday use,267.54,167,2024-02-13T13:06:10.611783
143,15,Car Seat 346,High-quality car seat for everyday use,763.61,194,2024-03-01T13:06:10.611783
144,15,Baby Food 259,High-quality baby food for everyday use,836.55,240,2023-12-25T13:06:10.611783
145,15,Bib 54,High-quality bib for everyday use,999.9,179,2024-02-16T13:06:10.611783
146,15,Baby Bottle 800,High-quality baby bottle for everyday use,957.7,20,2024-07-01T13:06:10.611783
147,15,Diapers 973,High-quality diapers for everyday use,254.8,429,2023-12-26T13:06:10.611783
148,15,Baby Monitor 157,High-quality baby monitor for everyday use,246.15,242,2024-06-09T13:06:10.611783
149,15,Baby Bottle 578,High-quality baby bottle for everyday use,948.27,238,2024-06-17T13:06:10.611783
150,15,Stroller 786,High-quality stroller for everyday use,375.2,310,2024-05-24T13:06:10.611783
